symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2015-08-31 00:00:00+00:00,112.76,114.53,112.0,112.13,56229271,104.1880819223,105.8235280468,103.4858564677,103.6059739796,56229271,0.0,1.0
AAPL,2015-09-01 00:00:00+00:00,107.72,111.88,107.36,110.18,76845860,99.5312183812,103.3749787643,99.1985852711,101.8042113001,76845860,0.0,1.0
AAPL,2015-09-02 00:00:00+00:00,112.34,112.34,109.131,110.0,61888812,103.8000099605,103.8000099605,100.8349553765,101.637894745,61888812,0.0,1.0
AAPL,2015-09-03 00:00:00+00:00,110.37,112.78,110.04,112.49,53233940,101.9797676637,104.2065615395,101.6748539795,103.9386070897,53233940,0.0,1.0
AAPL,2015-09-04 00:00:00+00:00,109.27,110.45,108.51,108.97,49996311,100.9633887163,102.0536861326,100.2611632617,100.6861944579,49996311,0.0,1.0
AAPL,2015-09-08 00:00:00+00:00,112.31,112.56,110.32,111.65,54843626,103.7722905347,104.00328575,101.9335686206,103.1624631662,54843626,0.0,1.0
AAPL,2015-09-09 00:00:00+00:00,110.15,114.02,109.77,113.76,85010804,101.7764918742,105.3522978075,101.4253791469,105.1120627836,85010804,0.0,1.0
AAPL,2015-09-10 00:00:00+00:00,112.57,113.2825,109.9,110.27,62892831,104.0125255586,104.6708619223,101.5454966589,101.8873695776,62892831,0.0,1.0
AAPL,2015-09-11 00:00:00+00:00,114.21,114.21,111.76,111.79,49915473,105.5278541712,105.5278541712,103.2641010609,103.2918204868,49915473,0.0,1.0
AAPL,2015-09-14 00:00:00+00:00,115.31,116.89,114.86,116.58,58363431,106.5442331186,108.0041228795,106.128441731,107.7176888125,58363431,0.0,1.0
AAPL,2015-09-15 00:00:00+00:00,116.28,116.53,114.42,115.93,43341155,107.4404945541,107.6714897694,105.721890152,107.1171012526,43341155,0.0,1.0
AAPL,2015-09-16 00:00:00+00:00,116.41,116.54,115.44,116.25,37173489,107.5606120661,107.680729578,106.6643506306,107.4127751283,37173489,0.0,1.0
AAPL,2015-09-17 00:00:00+00:00,113.92,116.49,113.715,115.66,64112641,105.2598997214,107.634530535,105.0704836448,106.8676264201,64112641,0.0,1.0
AAPL,2015-09-18 00:00:00+00:00,113.45,114.3,111.87,112.21,74285291,104.8256287166,105.6110124487,103.3657389557,103.6798924485,74285291,0.0,1.0
AAPL,2015-09-21 00:00:00+00:00,115.21,115.37,113.66,113.67,50221965,106.4518350325,106.5996719703,105.0196646974,105.0289045061,50221965,0.0,1.0
AAPL,2015-09-22 00:00:00+00:00,113.4,114.18,112.5201,113.38,50346159,104.7794296735,105.5001347453,103.9664189136,104.7609500563,50346159,0.0,1.0
AAPL,2015-09-23 00:00:00+00:00,114.32,114.72,113.3,113.63,35756716,105.6294920659,105.9990844104,104.6870315874,104.9919452716,35756716,0.0,1.0
AAPL,2015-09-24 00:00:00+00:00,115.0,115.5,112.37,113.25,50219475,106.2577990516,106.7197894823,103.8277293863,104.6408325443,50219475,0.0,1.0
AAPL,2015-09-25 00:00:00+00:00,114.71,116.69,114.02,116.44,56151926,105.9898446018,107.8193267072,105.3522978075,107.5883314919,56151926,0.0,1.0
AAPL,2015-09-28 00:00:00+00:00,112.44,114.57,112.44,113.85,50782189,103.8924080466,105.8604872812,103.8924080466,105.1952210611,50782189,0.0,1.0
AAPL,2015-09-29 00:00:00+00:00,109.06,113.51,107.86,112.83,73365384,100.7693527354,104.8810675683,99.6605757018,104.2527605826,73365384,0.0,1.0
AAPL,2015-09-30 00:00:00+00:00,109.95,111.54,108.73,110.17,65041596,101.591695702,103.0608252715,100.4644390511,101.7949714914,65041596,0.0,1.0
AAPL,2015-10-01 00:00:00+00:00,109.58,109.62,107.31,109.07,63929100,101.2498227833,101.2867820177,99.1523862281,100.778592544,63929100,0.0,1.0
AAPL,2015-10-02 00:00:00+00:00,110.38,111.0136,107.55,108.01,58019758,101.9890074723,102.5744417461,99.3741416348,99.799172831,58019758,0.0,1.0
AAPL,2015-10-05 00:00:00+00:00,110.78,111.3698,109.07,109.88,52064743,102.3585998169,102.9035637289,100.778592544,101.5270170417,52064743,0.0,1.0
AAPL,2015-10-06 00:00:00+00:00,111.31,111.74,109.765,110.63,48856977,102.8483096733,103.2456214437,101.4207592426,102.2200026877,48856977,0.0,1.0
AAPL,2015-10-07 00:00:00+00:00,110.78,111.77,109.41,111.74,46765550,102.3585998169,103.2733408696,101.0927460368,103.2456214437,46765550,0.0,1.0
AAPL,2015-10-08 00:00:00+00:00,109.5,110.19,108.21,110.19,61979577,101.1759043144,101.8134511087,99.9839690033,101.8134511087,61979577,0.0,1.0
AAPL,2015-10-09 00:00:00+00:00,112.12,112.28,109.49,110.0,52766140,103.596734171,103.7445711088,101.1666645058,101.637894745,52766140,0.0,1.0
AAPL,2015-10-12 00:00:00+00:00,111.6,112.75,111.44,112.73,30467204,103.1162641231,104.1788421136,102.9684271853,104.1603624964,30467204,0.0,1.0
AAPL,2015-10-13 00:00:00+00:00,111.79,112.45,110.68,110.82,33049256,103.2918204868,103.9016478553,102.2662017307,102.3955590513,33049256,0.0,1.0
AAPL,2015-10-14 00:00:00+00:00,110.21,111.52,109.56,111.29,44462449,101.8319307259,103.0423456542,101.231343166,102.8298300561,44462449,0.0,1.0
AAPL,2015-10-15 00:00:00+00:00,111.86,112.1,110.49,110.93,37673452,103.3564991471,103.5782545538,102.0906453671,102.497196946,37673452,0.0,1.0
AAPL,2015-10-16 00:00:00+00:00,111.04,112.0,110.53,111.78,39232609,102.5988348408,103.4858564677,102.1276046015,103.2825806782,39232609,0.0,1.0
AAPL,2015-10-19 00:00:00+00:00,111.73,111.75,110.11,110.8,29759153,103.2363816351,103.2548612523,101.7395326398,102.3770794341,29759153,0.0,1.0
AAPL,2015-10-20 00:00:00+00:00,113.77,114.17,110.82,111.34,48967763,105.1213025922,105.4908949367,102.3955590513,102.8760290992,48967763,0.0,1.0
AAPL,2015-10-21 00:00:00+00:00,113.76,115.58,113.7,114.0,42326974,105.1120627836,106.7937079512,105.0566239319,105.3338181903,42326974,0.0,1.0
AAPL,2015-10-22 00:00:00+00:00,115.5,115.5,114.1,114.33,41654089,106.7197894823,106.7197894823,105.4262162764,105.6387318745,41654089,0.0,1.0
AAPL,2015-10-23 00:00:00+00:00,119.08,119.228,116.33,116.7,59366914,110.0276409658,110.1643901333,107.4866935972,107.8285665159,59366914,0.0,1.0
AAPL,2015-10-26 00:00:00+00:00,115.28,118.13,114.92,118.08,66333781,106.5165136928,109.1498591475,106.1838805827,109.1036601045,66333781,0.0,1.0
AAPL,2015-10-27 00:00:00+00:00,114.55,116.54,113.99,115.4,69884400,105.842007664,107.680729578,105.3245783817,106.6273913961,69884400,0.0,1.0
AAPL,2015-10-28 00:00:00+00:00,119.27,119.3,116.06,116.93,85551352,110.2031973294,110.2309167553,107.2372187646,108.041082114,85551352,0.0,1.0
AAPL,2015-10-29 00:00:00+00:00,120.53,120.69,118.27,118.7,51227334,111.3674132147,111.5152501525,109.2792164681,109.6765282385,51227334,0.0,1.0
AAPL,2015-10-30 00:00:00+00:00,119.5,121.22,119.45,120.99,49365254,110.4157129275,112.004960009,110.3695138845,111.7924444109,49365254,0.0,1.0
AAPL,2015-11-02 00:00:00+00:00,121.18,121.36,119.61,119.87,32203267,111.9680007746,112.1343173296,110.5173508223,110.7575858462,32203267,0.0,1.0
AAPL,2015-11-03 00:00:00+00:00,122.57,123.49,120.7,120.79,45518976,113.2523341718,114.1023965642,111.5244899611,111.6076482386,45518976,0.0,1.0
AAPL,2015-11-04 00:00:00+00:00,122.0,123.82,121.62,123.13,44886050,112.7256650808,114.4073102484,112.3745523535,113.7697634541,44886050,0.0,1.0
AAPL,2015-11-05 00:00:00+00:00,120.92,122.69,120.18,121.85,39552680,112.2082357985,113.8507149365,111.5215496052,113.0712333117,39552680,0.52,1.0
AAPL,2015-11-06 00:00:00+00:00,121.06,121.81,120.62,121.11,33042283,112.3381494026,113.0341151391,111.9298495039,112.3845471184,33042283,0.0,1.0
AAPL,2015-11-09 00:00:00+00:00,120.57,121.81,120.05,120.96,33871405,111.8834517882,113.0341151391,111.4009155442,112.2453539711,33871405,0.0,1.0
AAPL,2015-11-10 00:00:00+00:00,116.77,118.07,116.061,116.9,59127931,108.3572253903,109.5635660001,107.6993057808,108.4778594512,59127931,0.0,1.0
AAPL,2015-11-11 00:00:00+00:00,116.11,117.42,115.21,116.37,45217971,107.7447755422,108.9603956952,106.9096166585,107.9860436642,45217971,0.0,1.0
AAPL,2015-11-12 00:00:00+00:00,115.72,116.82,115.65,116.26,32525579,107.3828733593,108.403623106,107.3179165572,107.8839686895,32525579,0.0,1.0
AAPL,2015-11-13 00:00:00+00:00,112.34,115.57,112.27,115.2,45812403,104.2463877738,107.243680212,104.1814309717,106.9003371153,45812403,0.0,1.0
AAPL,2015-11-16 00:00:00+00:00,114.175,114.24,111.0,111.38,38106701,105.9491839422,106.0095009727,103.0029289913,103.3555516311,38106701,0.0,1.0
AAPL,2015-11-17 00:00:00+00:00,113.69,115.05,113.32,114.92,27583101,105.4991260993,106.7611439681,105.1557830027,106.6405099071,27583101,0.0,1.0
AAPL,2015-11-18 00:00:00+00:00,117.29,117.49,115.5,115.76,46674697,108.8397616342,109.0253524972,107.1787234099,107.4199915319,46674697,0.0,1.0
AAPL,2015-11-19 00:00:00+00:00,118.78,119.75,116.76,117.64,43295820,110.2224135639,111.1225292497,108.3479458471,109.1645456445,43295820,0.0,1.0
AAPL,2015-11-20 00:00:00+00:00,119.3,119.92,118.85,119.2,34287096,110.7049498078,111.2802814833,110.287370366,110.6121543763,34287096,0.0,1.0
AAPL,2015-11-23 00:00:00+00:00,117.75,119.73,117.34,119.27,32482528,109.2666206192,111.1039701634,108.88615935,110.6771111784,32482528,0.0,1.0
AAPL,2015-11-24 00:00:00+00:00,118.88,119.35,117.12,117.33,42803172,110.3152089954,110.7513475236,108.6820094006,108.8768798068,42803172,0.0,1.0
AAPL,2015-11-25 00:00:00+00:00,118.03,119.23,117.92,119.21,21388308,109.5264478275,110.6399930058,109.4243728528,110.6214339194,21388308,0.0,1.0
AAPL,2015-11-27 00:00:00+00:00,117.81,118.41,117.6,118.29,13046445,109.3222978781,109.8790704673,109.1274274719,109.7677159494,13046445,0.0,1.0
AAPL,2015-11-30 00:00:00+00:00,118.3,119.41,117.75,117.99,39180322,109.7769954926,110.8070247825,109.2666206192,109.4893296549,39180322,0.0,1.0
AAPL,2015-12-01 00:00:00+00:00,117.34,118.81,116.86,118.75,34852374,108.88615935,110.2502521934,108.4407412786,110.1945749344,34852374,0.0,1.0
AAPL,2015-12-02 00:00:00+00:00,116.28,118.11,116.08,117.05,33386563,107.9025277758,109.6006841727,107.7169369128,108.6170525985,33386563,0.0,1.0
AAPL,2015-12-03 00:00:00+00:00,115.2,116.79,114.22,116.55,41569509,106.9003371153,108.3757844766,105.9909418864,108.1530754409,41569509,0.0,1.0
AAPL,2015-12-04 00:00:00+00:00,119.03,119.25,115.11,115.29,57776977,110.4544021427,110.6585520921,106.816821227,106.9838530037,57776977,0.0,1.0
AAPL,2015-12-07 00:00:00+00:00,118.28,119.86,117.81,118.98,32084249,109.7584364063,111.2246042244,109.3222978781,110.4080044269,32084249,0.0,1.0
AAPL,2015-12-08 00:00:00+00:00,118.23,118.6,116.86,117.52,34309450,109.7120386905,110.0553817872,108.4407412786,109.0531911267,34309450,0.0,1.0
AAPL,2015-12-09 00:00:00+00:00,115.62,117.69,115.08,117.64,46361357,107.2900779277,109.2109433603,106.7889825975,109.1645456445,46361357,0.0,1.0
AAPL,2015-12-10 00:00:00+00:00,116.17,116.94,115.51,116.04,29212727,107.8004528011,108.5149776239,107.1880029531,107.6798187401,29212727,0.0,1.0
AAPL,2015-12-11 00:00:00+00:00,113.18,115.39,112.851,115.19,46886161,105.0258693986,107.0766484352,104.7205724289,106.8910575722,46886161,0.0,1.0
AAPL,2015-12-14 00:00:00+00:00,112.48,112.68,109.79,112.18,65003609,104.3763013779,104.5618922409,101.8801042699,104.0979150833,65003609,0.0,1.0
AAPL,2015-12-15 00:00:00+00:00,110.49,112.8,110.35,111.94,53323105,102.5296722906,104.6732467588,102.3997586864,103.8752060477,53323105,0.0,1.0
AAPL,2015-12-16 00:00:00+00:00,111.34,111.99,108.8,111.07,56238467,103.3184334585,103.9216037634,100.9614294978,103.0678857934,56238467,0.0,1.0
AAPL,2015-12-17 00:00:00+00:00,108.98,112.25,108.98,112.02,44772827,101.1284612746,104.1628718854,101.1284612746,103.9494423929,44772827,0.0,1.0
AAPL,2015-12-18 00:00:00+00:00,106.03,109.52,105.81,108.91,96453327,98.3909960446,101.6295566048,98.1868460953,101.0635044725,96453327,0.0,1.0
AAPL,2015-12-21 00:00:00+00:00,107.33,107.37,105.57,107.28,47590610,99.5973366544,99.634454827,97.9641370596,99.5509389387,47590610,0.0,1.0
AAPL,2015-12-22 00:00:00+00:00,107.23,107.72,106.451,107.4,32789367,99.5045412229,99.9592388374,98.7816648113,99.6622934565,32789367,0.0,1.0
AAPL,2015-12-23 00:00:00+00:00,108.61,108.85,107.2,107.27,32657354,100.7851181779,101.0078272136,99.4767025934,99.5416593955,32657354,0.0,1.0
AAPL,2015-12-24 00:00:00+00:00,108.03,109.0,107.95,109.0,13596680,100.2469046751,101.1470203609,100.1726683299,101.1470203609,13596680,0.0,1.0
AAPL,2015-12-28 00:00:00+00:00,106.82,107.69,106.1807,107.59,26704210,99.1240799537,99.9314002079,98.5308387599,99.8386047764,26704210,0.0,1.0
AAPL,2015-12-29 00:00:00+00:00,108.74,109.43,106.86,106.96,30931243,100.9057522389,101.5460407164,99.1611981263,99.2539935578,30931243,0.0,1.0
AAPL,2015-12-30 00:00:00+00:00,107.32,108.7,107.18,108.58,25213777,99.5880571113,100.8686340663,99.4581435071,100.7572795485,25213777,0.0,1.0
AAPL,2015-12-31 00:00:00+00:00,105.26,107.03,104.82,107.01,40912316,97.6764712219,99.3189503599,97.2681713232,99.3003912736,40912316,0.0,1.0
AAPL,2016-01-04 00:00:00+00:00,105.35,105.368,102.0,102.61,67649387,97.7599871103,97.7766902879,94.6513401542,95.2173922865,67649387,0.0,1.0
AAPL,2016-01-05 00:00:00+00:00,102.71,105.85,102.41,105.75,55790992,95.310187718,98.2239642679,95.0318014235,98.1311688364,55790992,0.0,1.0
AAPL,2016-01-06 00:00:00+00:00,100.7,102.37,99.87,100.56,68457388,93.4449995444,94.9946832509,92.6747974628,93.3150859403,68457388,0.0,1.0
